"","logFC","logCPM","PValue","FDR"
"YMR264W",-0.832797629317027,6.92824479321036,1.23643900755653e-09,2.89170340225771e-08
"YLR356W",-1.26882097131156,5.896178284009,1.33039877829098e-09,3.09920061856211e-08
"YLR213C",-1.46551904017485,5.10864315261309,1.40544660698158e-09,3.26118728372942e-08
"YJL200C",1.05074399081325,6.05661285602206,1.42105927293074e-09,3.28453426481688e-08
"YJR070C",0.90174622268959,7.56927975303755,1.43334629240035e-09,3.30004280627739e-08
"YBR230C",-1.11451069971962,7.44979142469156,1.54709104937633e-09,3.54811540277509e-08
"YDL157C",-1.0119985357514,5.94385203767828,1.62163301305473e-09,3.70471140472774e-08
"YOL084W",-1.71818794840091,4.13916843699142,1.63884353496499e-09,3.72962969091839e-08
"R0020C",-0.799181759007655,10.076659912587,1.69418808298342e-09,3.84080876897045e-08
"YBR203W",-0.933183599113488,6.64734064687421,1.77011839671713e-09,3.99762998220431e-08
"YHR143W",0.953185513069972,8.70052024225455,1.78015154962635e-09,4.00500255480574e-08
"YDL244W",-2.55116785376438,3.28724706115858,1.88026924878922e-09,4.21422467616886e-08
"YBL085W",-0.944702564045066,7.70440645666268,1.90468502714958e-09,4.25283822854493e-08
"YHR080C",-0.848202236978621,6.73424583612174,1.95825137663759e-09,4.35065589100969e-08
"YBR111C",-0.709812055395996,7.61871898324117,1.96319946408583e-09,4.35065589100969e-08
"YBL050W",-0.783030341899475,7.23536334410086,2.00995795864448e-09,4.43765717958932e-08
"YOR328W",-0.961877423244939,5.86588537062022,2.32911042854208e-09,5.11086346700314e-08
"YGR223C",-0.889682299659059,6.6924181783383,2.33214996804267e-09,5.11086346700314e-08
"YIL055C",-0.994340450704648,5.57439934802353,2.34416131730539e-09,5.11822971014612e-08
"YBR011C",-0.643880255965759,10.1853929041883,2.45495346518188e-09,5.34042634319161e-08
"YNL024C",1.34861682140845,4.93341402314764,2.47592055833705e-09,5.35560231157393e-08
"YOR127W",-0.877489486358446,7.0963581780126,2.48003216726594e-09,5.35560231157393e-08
"YKL045W",-1.02910883513183,5.93634131033601,2.6328906991831e-09,5.66502336984232e-08
"YOR289W",-1.23066510877937,5.54597718217775,2.69484161398983e-09,5.77731080796298e-08
"YIR028W",-1.51972060055874,4.21821495365882,3.05866589173978e-09,6.53361952397989e-08
"YOL130W",0.759732319669142,7.16005921416904,3.13616387028207e-09,6.67506533110037e-08
"YPR075C",-0.841892433098602,7.71937485457727,3.21664694405137e-09,6.8218279455025e-08
"YAR015W",1.20684780871741,7.76149312593133,3.35063147943746e-09,7.08060230851124e-08
"YGR189C",-0.754446497456666,9.57413053702053,3.37320568775432e-09,7.10293880941008e-08
"YDR216W",-1.26790120158354,6.57349835518721,3.64187015749339e-09,7.64147011414481e-08
"YLR327C",1.76395628304433,7.9701470519396,3.90282060171992e-09,8.16006696126388e-08
"YIL056W",1.20704870821073,6.69132011332079,4.00163931836988e-09,8.33721825591359e-08
"YBL084C",-1.20536764542659,5.8597691713796,4.0263955367795e-09,8.35936224249977e-08
"YOR375C",-0.683437044401814,9.75129599757374,4.07462865047437e-09,8.42992228141847e-08
"YGR050C",-1.55861825561945,4.29923218474434,4.31118461793172e-09,8.88825065655121e-08
"YBR069C",0.887695070419184,7.42536959124572,4.48398902264029e-09,9.21241772463979e-08
"YOL114C",-1.63906978782819,4.14188615010193,4.82282710746851e-09,9.87427958300734e-08
"YKL141W",-1.01509652060874,7.04928214201563,4.94165761778124e-09,1.00826855601419e-07
"YNR034W-A",1.58402727258694,5.23692806455576,5.21213959268843e-09,1.05967378052139e-07
"YLR438W",1.62098903300445,5.99020820484009,5.22941936643985e-09,1.05967378052139e-07
"YCR002C",-0.874431372436305,7.03910153903247,5.37919723810822e-09,1.08630409753878e-07
"YDR260C",-1.05529727815598,5.75717261155682,5.41386783427873e-09,1.0895869379397e-07
"YGL035C",-0.898877016504003,7.81213664891969,5.45123826769769e-09,1.09338904508363e-07
"YLR407W",-1.27257507975642,4.53528845203294,5.70506863691816e-09,1.14043551096773e-07
"YOR288C",-1.12675835030766,5.06488818989591,5.74908163915318e-09,1.14536417706631e-07
"YEL065W",0.961064436973972,6.47948650261439,6.0212412542575e-09,1.19555988259871e-07
"YCR005C",-1.60380456603442,7.78787306281766,6.0614263233037e-09,1.19951369749124e-07
"YMR071C",-0.744455327280473,7.13833268666796,6.41762013938186e-09,1.26576861215741e-07
"YJL077W-A",-3.24043035491873,2.9396038575699,6.43969380370627e-09,1.26590259922027e-07
"YDR259C",-1.64614549783513,4.62750581775027,6.49441494372704e-09,1.27243222589513e-07
"YHR175W",-0.868959924870247,7.17056953575065,7.09292100015676e-09,1.38510935834744e-07
"YKR076W",-1.22755344371476,6.38672265447939,7.16660162601275e-09,1.39166396145081e-07
"YEL002C",-0.721739504114672,7.84465399440012,7.1735255744887e-09,1.39166396145081e-07
"YDR100W",-1.12495330578829,5.97802338194712,7.69019872823718e-09,1.48617473856223e-07
"YDR373W",-0.849619922166398,6.09418091050162,7.71092859115439e-09,1.48617473856223e-07
"YGR232W",-0.872676219660032,6.46112245923524,8.23228726562813e-09,1.58150791398447e-07
"YIL024C",-1.5116729161018,4.49173293079413,8.50798003208592e-09,1.62918180743859e-07
"YMR042W",-1.01264666763049,5.38275614892393,8.96762191895423e-09,1.71165867401459e-07
"YGR008C",0.888129539682317,8.00793326480586,9.03124280400422e-09,1.71825928203514e-07
"YJR139C",-0.615317871383129,8.82017379415764,9.21449374407542e-09,1.74750511165687e-07
"YDR086C",-0.845051684857973,7.41654689531732,9.4141256642283e-09,1.77966075256354e-07
"YKL178C",-3.59534148864621,2.76962369218296,9.60219821145311e-09,1.80943333812637e-07
"YGR044C",0.919023851032028,5.77342039367657,9.74883240086570e-09,1.83123305764833e-07
"YKL067W",-0.72157433684671,7.92404345308761,1.00064794144275e-08,1.87368160427745e-07
"YGR246C",-0.816579543234831,6.39778741984339,1.02495806072366e-08,1.91314726981132e-07
"YAL038W",0.743859424779187,13.2159565667227,1.04311902992617e-08,1.94092305033747e-07
"YNL259C",-1.25837577368531,4.95859385773134,1.05113088887756e-08,1.94969952021584e-07
"YDL169C",-1.13982863658317,5.14153542647944,1.08621759024805e-08,2.00848421296804e-07
"YHR006W",-0.852350726641711,6.99052643718983,1.10474198128519e-08,2.03637330319766e-07
"YGL252C",-0.708741253631168,7.74563733953818,1.1156873996671e-08,2.05016221858081e-07
"YGR161W-C",-1.15962748512386,5.79497130091213,1.1889204142869e-08,2.17796968772e-07
"YOR356W",-0.906549305426348,7.11186478761532,1.21071812106131e-08,2.2110552846666e-07
"YIR027C",-2.57043090563071,3.37918561055811,1.23359109586825e-08,2.24589492746228e-07
"YIL119C",1.75486265423356,4.94093420946375,1.31764184373294e-08,2.39156036483675e-07
"YEL012W",-0.882712317472063,6.6823757870395,1.33458589128355e-08,2.41490664181185e-07
